date,symbol,calendarYear,period,growthRevenue,growthCostOfRevenue,growthGrossProfit,growthGrossProfitRatio,growthResearchAndDevelopmentExpenses,growthGeneralAndAdministrativeExpenses,growthSellingAndMarketingExpenses,growthOtherExpenses,growthOperatingExpenses,growthCostAndExpenses,growthInterestExpense,growthDepreciationAndAmortization,growthEBITDA,growthEBITDARatio,growthOperatingIncome,growthOperatingIncomeRatio,growthTotalOtherIncomeExpensesNet,growthIncomeBeforeTax,growthIncomeBeforeTaxRatio,growthIncomeTaxExpense,growthNetIncome,growthNetIncomeRatio,growthEPS,growthEPSDiluted,growthWeightedAverageShsOut,growthWeightedAverageShsOutDil
2023-09-30,AAPL,2023,FY,-0.028004605303199367,-0.04208977123276641,-0.00956775304188966,0.01896804496777955,0.13957563521389663,0,0,-0.6916167664670658,0.06820527802122894,-0.02148851726684395,0.34186284544524054,0.03737391930835735,-0.03616488306355858,-0.008395387238952846,-0.04300174987650393,-0.015429234167924216,-0.6916167664670658,-0.04506183723331906,-0.01754867565937901,-0.13259067357512955,-0.028135426790777834,-0.00013459100581592642,0.001626016260162567,0.0032733224222585224,-0.029090594249629207,-0.031439280320331865
2022-09-24,AAPL,2022,FY,0.07793787604184606,0.04960536385874796,0.11741997958596143,0.03662743860969033,0.19791001186456147,0,0,-2.294573643410853,0.16993642764372138,0.07016444243736082,0.10812854442344046,-0.015951790145338533,0.08573353405471043,0.0072320103774037164,0.09626522501353844,0.017002231252019266,-2.294573643410853,0.0906169018469512,0.011762297331617908,0.32856061127555586,0.05410857625686523,-0.02210637578477297,0.08465608465608473,0.08912655971479501,-0.029058205865996313,-0.03196576277656596
2021-09-25,AAPL,2021,FY,0.33259384733074693,0.25608785142634716,0.4561911658218682,0.09274942911055713,0.16862201365187712,0,0,-0.6787048567870486,0.13496948381090307,0.23359602741239127,-0.07935955447267665,0.020622286541244574,0.5545226520479933,0.1665389684246624,0.6435704803282646,0.2333619009685025,-0.6787048567870486,0.6277444068503972,0.22148575847821209,0.5007231404958677,0.649161310550243,0.23755735025787472,0.7129909365558912,0.7103658536585368,-0.037508214414619906,-0.037841562180835994
2020-09-26,AAPL,2020,FY,0.055120803769784836,0.04807086078797394,0.06671274087324172,0.010986360136100526,0.15631744465684158,0,0,-0.5556170448256779,0.12204747257849226,0.0610617394671939,-0.1965883668903803,-0.11883318721606759,0.011336741765498124,-0.04149672899515505,0.03688409197559831,-0.017284003861630128,-0.5556170448256779,0.020597228349331427,-0.03272002121881899,-0.07642400534300162,0.039000289561314606,-0.01527835888700921,0.1070234113712374,0.10437710437710424,-0.06059209794028975,-0.057402558404513054
2019-09-28,AAPL,2019,FY,-0.020410775805267418,-0.012054520139720071,-0.03384754367187423,-0.013716737087214027,0.1391542568137117,0,0,-0.09875311720698254,0.11379722698038201,0.007945679697170475,0.1037037037037037,0.15078418783820965,-0.0650847789146832,-0.045604832989106676,-0.09828203898558492,-0.07949379313236031,-0.09875311720698254,-0.0982949947190102,-0.07950701903014172,-0.21619802572539634,-0.07181132519191681,-0.05247153373236277,-0.0033333333333332624,-0.0033557046979865056,-0.06811651262860526,-0.07023766881881975
2018-09-29,AAPL,2018,FY,0.15861957650261305,0.16099483863649255,0.15482049304878326,-0.003278973939424384,0.22925481391935065,0,0,-0.26958105646630237,0.15270844199389016,0.15967002203823932,0.39474817046922084,0.07344688392241804,0.1440539293156739,-0.012571552789328675,0.15574465310380803,-0.0024813351071559003,-0.26958105646630237,0.13752750081917334,-0.018204487433407184,-0.1503367645189986,0.23122582780087278,0.06266616949282051,0.29310344827586216,0.29565217391304355,-0.05019222800092463,-0.047905132288793784
2017-09-30,AAPL,2017,FY,0.06304518199398068,0.07362075264888564,0.04655661440964599,-0.015510693210646982,0.15291189646590345,0,0,1.0363501483679525,0.10738891868476422,0.0788805706390772,0.595467032967033,-0.033127082341742026,0.013781565029987664,-0.046341978645182615,-0.019547045567152012,-0.07769399551445108,1.0363501483679525,0.04427100306328619,-0.017660753637419948,0.0033790245457443416,0.058309803664061986,-0.004454540918315857,0.11004784688995216,0.10576923076923064,-0.046351004054236845,-0.04519569091106436
2016-09-24,AAPL,2016,FY,-0.07734206191301371,-0.06219617528856655,-0.10000427231751864,-0.024561876599417592,0.24519647948431883,0,0,0.0490272373540856,0.08229148062153956,-0.04228082592239284,0.9863574351978172,-0.06680287820911433,-0.14496829803484185,-0.07329502434693788,-0.1216201038888109,-0.047989661332993955,0.0490272373540856,-0.15366475901537613,-0.08272046861621436,-0.1796977145546781,-0.14434206090571974,-0.07261629270187511,-0.09913793103448276,-0.09956709956709955,-0.04911877646360313,-0.05054108625324504
2015-09-26,AAPL,2015,FY,0.2785634180365984,0.2479199700689483,0.3273317549654791,0.03814307233442699,0.3353749379241847,0,0,3.9814385150812064,0.2418764555838971,0.24708347404291897,0.9088541666666666,0.4166876415806695,0.33446038859139665,0.043718575030512505,0.3566843799401939,0.06110057666079591,0.3112244897959184,0.3558513920311127,0.06044907335110971,0.3684248192943534,0.35140470766894455,0.05697119809065448,0.4320987654320986,0.4347826086956521,-0.0545800789145211,-0.053831804886207195
2014-09-27,AAPL,2014,FY,0.06953952372593762,0.0530176537905934,0.09693020651903458,0.025609790263173213,0.3499441340782123,0,0,-1.3728373702422145,0.1783077425677883,0.0687468727186226,1.8235294117647058,0.1759656652360515,0.10863404835354043,0.036552669390125324,0.040095881455654826,-0.027529269933044588,-0.1522491349480969,0.066354301664839,-0.0029781245552374953,0.0651776185394115,0.06677106677106677,-0.0025884570299653364,0.132867132867133,0.13380281690140858,-0.060479516441761305,-0.06117653949915006
