date,symbol,calendarYear,period,growthCashAndCashEquivalents,growthShortTermInvestments,growthCashAndShortTermInvestments,growthNetReceivables,growthInventory,growthOtherCurrentAssets,growthTotalCurrentAssets,growthPropertyPlantEquipmentNet,growthGoodwill,growthIntangibleAssets,growthGoodwillAndIntangibleAssets,growthLongTermInvestments,growthTaxAssets,growthOtherNonCurrentAssets,growthTotalNonCurrentAssets,growthOtherAssets,growthTotalAssets,growthAccountPayables,growthShortTermDebt,growthTaxPayables,growthDeferredRevenue,growthOtherCurrentLiabilities,growthTotalCurrentLiabilities,growthLongTermDebt,growthDeferredRevenueNonCurrent,growthDeferrredTaxLiabilitiesNonCurrent,growthOtherNonCurrentLiabilities,growthTotalNonCurrentLiabilities,growthOtherLiabilities,growthTotalLiabilities,growthCommonStock,growthRetainedEarnings,growthAccumulatedOtherComprehensiveIncomeLoss,growthOthertotalStockholdersEquity,growthTotalStockholdersEquity,growthTotalLiabilitiesAndStockholdersEquity,growthTotalInvestments,growthTotalDebt,growthNetDebt
2023-09-30,AAPL,2023,FY,0.26723335870760384,0.28112580095709305,0.2743251076515402,0.0008698220967636053,0.28002426202992314,-0.3075908212788013,0.06027103873564492,0.03794192368877176,0.0,0.0,0.0,-0.16771656802284673,0.0,0.1897920188138458,-0.03833908442604095,0,-0.00048759053734178114,-0.023457849177259613,-0.25120795831359544,0.0,0.018832153690596563,-0.03313337168214315,-0.056331259497863384,-0.037166907507149426,0.0,0.0,0.014366529648772944,-0.020067386445736357,0,-0.03855231840255824,0.13821338802448765,0.9302477183833116,-0.03087586641461878,0.0,0.22643669087464477,-0.00048759053734178114,-0.7828313729264487,-0.07479865743863945,-0.1586758346037771
2022-09-24,AAPL,2022,FY,-0.3232398397252433,-0.10978735694429402,-0.22885103529749837,0.18300780491593213,-0.24832826747720366,0.5040039685351854,0.004219941261977513,0.06787525354969574,0.0,0.0,0.0,-0.055303142863845724,0.0,0.11420909332842023,0.005477272096444399,0,0.004994273536902924,0.17077223672917846,0.35207839620828796,0.0,0.0394114555964267,0.281136167435201,0.22713398841258836,-0.09300130148662768,0.0,0.0,-0.07844350679793717,-0.08822207583527775,0,0.04921990052516047,0.1304628257648392,-1.5516001438331535,-69.15337423312883,0.0,-0.19682992550324932,0.004994273536902924,-0.06500359952691932,-0.03728381401390325,0.07400394301562727
2021-09-25,AAPL,2021,FY,-0.08091329966329966,-0.47665652691442933,-0.31122791198882815,0.37551074909867804,0.6202905688254124,0.2527521306818182,-0.06176894226687913,0.07273023989555567,0.0,0.0,0.0,0.2675270351977955,0.0,0.1487935656836461,0.19975579297904814,0,0.08371412340068171,0.2947560052960091,0.1339240322463505,0.0,0.14586783079933766,0.1126651672757942,0.19061219067860938,0.1058003182421681,0.0,0.0,-0.021380069737566527,0.060552243775994566,0,0.11356841449783213,0.12969928513755685,-0.6283576105839904,1.4014778325123152,0.0,-0.03442048393761766,0.08371412340068171,0.011455394177383072,0.10924437013056316,0.20638269282450955
2020-09-26,AAPL,2020,FY,-0.2216853656539186,0.023475721772088256,-0.09560746641208469,-0.18249497860448868,-0.010959571358986848,-0.08808290155440414,-0.11734502730025366,-0.016373267697576115,0.0,0.0,0.0,-0.04228173265869889,0.0,0.28940505791739946,0.02548706010916521,0,-0.04321213768330005,-0.08521498399515529,-0.15215517241379312,0.0,0.2030061571894241,0.13160127253446446,-0.0030836754384305416,0.07472197109152896,0.0,0.0,0.0789458051996911,0.07622092614714356,0,0.04241859790023707,0.12407579581175013,-0.6739291472395311,0.3047945205479452,0.0,-0.27792635487578465,-0.04321213768330005,-0.020629847058973347,0.04062121113959666,0.2570308937047109
2019-09-28,AAPL,2019,FY,0.8849226257091035,0.28040507081311283,0.5166739566522375,-0.06512909480559241,0.037917087967644085,0.02192438156697278,0.23968508972963096,-0.09505132674801473,0.0,0.0,0.0,-0.38324580354685917,0.0,0.47996230310101873,-0.25039464814451373,0,-0.07439742976279992,-0.17270254795304896,-0.21727395411605938,0.0,-0.2679305316187193,0.153975586624652,-0.09539130285968545,-0.020568624313223448,-1.0,-1.0,0.1284577914823256,0.004219826126227843,0,-0.040800068064568526,0.1237033904629238,-0.3480397727272727,0.8309206716850029,0.0,-0.15547798818445688,-0.07439742976279992,-0.25632733075426045,-0.05621795375732642,-0.3315682511008242
2018-09-29,AAPL,2018,FY,0.27719453891271134,-0.2505752245231203,-0.10622666181367196,0.37344770554761303,-0.18516992790937178,-0.13267795637198623,0.020941350227369895,0.22262676494094663,-1.0,-1.0,-1.0,-0.1228211633472683,0.0,1.192777012399134,-0.04981473523760104,0,-0.025562255041711186,0.13943199657485372,0.12315270935960591,0.0,-0.0006624271330153683,0.2696939092604102,0.1592239173130716,-0.03571759235446007,-0.013751763046544428,-0.986477907567293,4.022331949276175,0.008927935753036496,0,0.07172817401107463,0.12083530822204254,-0.2840435268992169,-22.026666666666667,0.0,-0.20067588233977635,-0.025562255041711186,-0.15051527316315777,-0.010347510373443983,-0.07150569760249918
2017-09-30,AAPL,2017,FY,-0.009519625073227886,0.15472134730346468,0.10462363189635916,0.21755008703368717,1.277204502814259,0.6824821924423518,0.20376348613723344,0.25075897815623843,0.05596601403768009,-0.2832189644416719,-0.07018561484918794,0.14248665141113653,0.0,0.16044307411213887,0.14829831903434085,0,0.1667246942670803,0.3151981551992278,0.591813873330461,0.0,-0.06584158415841584,0.16874744631588506,0.27602966863276207,0.2887560157503281,-0.032081911262798635,0.21080748683654252,-0.11377424167081054,0.22744710786412772,0,0.24728981528869864,0.14770727336725226,0.020401809804491303,-1.2365930599369086,0.0,0.04520892950432362,0.1667246942670803,0.14511678895997715,0.3291662836657781,0.43341648133677946
2016-09-24,AAPL,2016,FY,-0.030113636363636363,1.2787461549729018,0.61426408019038,-0.034406617671291564,-0.09237973605789698,-0.13166998637173707,0.1956969276555752,0.20199368074407015,0.05824863174354965,-0.17647058823529413,-0.043179043179043176,0.038795599305153444,-1.0,874.7,0.0682045340401092,0,0.1074328953211764,0.05083122006198929,0.05509591781071006,0.0,-0.09619686800894854,-0.12525316707041023,-0.01989827564818261,0.4108261788526645,-0.1915011037527594,0.08133156013631453,0.07367859049652963,0.2642353669045672,0,0.13039082770388724,0.13988182083454917,0.044211347579211996,2.8376811594202898,0.0,0.07451719659838298,0.1074328953211764,0.1764058825441895,0.3501287580279855,0.535415993724332
2015-09-26,AAPL,2015,FY,0.5255706443224502,0.823288524882044,0.658930494078239,0.1147727690216393,0.11274277593557555,-0.027228227615745462,0.30419810012986825,0.08955585725368503,0.10831889081455806,-0.0601158860453887,0.028659511303950672,0.26046772483520536,0.28439092172301994,1.0180505415162455,0.23142160824944277,0,0.2529341482666851,0.17532123460060936,0.7436588459099556,-1.0,0.052879519491226004,0.36460196174063836,0.27048921951834576,0.8443785145065029,0.1956450016496206,0.18771903845204602,1.0505802496168164,0.5923228484976427,0,0.42257174209423737,0.1759962252820315,0.05888562511474206,-1.3188539741219962,0.0,0.06999740019901925,0.2529341482666851,0.3051805226493157,0.8263776738914861,1.020511864248753
2014-09-27,AAPL,2014,FY,-0.029104425275264745,-0.5726785102902575,-0.38151728900508064,0.31868611016908094,0.19671201814058956,0.4248764893926184,-0.0648827879813334,0.24263421100198831,1.9270767279644896,-0.008853792773390764,0.5215427380125087,0.2254577978628254,0.2505068056762236,-1.3272297696396929,0.22132312248530445,0,0.11999516908212561,0.3500245897974695,0.0,0.0075,0.14203093476798925,0.3317696304849885,0.45329607402996014,0.7091391509433962,0.15466666666666667,0.22863727333373765,0.22801828448507663,0.4284924484205765,0,0.4414686462714647,0.17956891317547055,-0.16405770411295273,3.29723991507431,0.0,-0.09714364341273503,0.11999516908212561,0.06711596806085945,1.081073113207547,6.941873380229545
2013-09-28,AAPL,2013,FY,0.3269123394751535,0.4299624653212207,0.39194617048302377,0.1042692060774663,1.2300884955752212,0.06565500154846701,0.27115674813105994,0.07410044007248252,0.3894273127753304,-0.01065340909090909,0.07408098525844374,0.15298191528625085,0.33681765389082463,-0.4151986183074266,0.12923630405958905,0,0.17570883315158126,0.05629279811097993,0.0,-0.2182410423452769,0.24895010918864438,0.21394778342386542,0.1327383114524415,0.0,-0.008685800604229608,0.19079945114465227,0.3201987930422435,1.0605323115161558,0,0.44244131779997925,0.20350748995250273,0.029292420697212926,-1.9438877755511021,0.0,0.045165383639286016,0.17570883315158126,0.19905886611465545,0.0,1.2513493392890378
