date,symbol,calendarYear,period,growthNetIncome,growthDepreciationAndAmortization,growthDeferredIncomeTax,growthStockBasedCompensation,growthChangeInWorkingCapital,growthAccountsReceivables,growthInventory,growthAccountsPayables,growthOtherWorkingCapital,growthOtherNonCashItems,growthNetCashProvidedByOperatingActivites,growthInvestmentsInPropertyPlantAndEquipment,growthAcquisitionsNet,growthPurchasesOfInvestments,growthSalesMaturitiesOfInvestments,growthOtherInvestingActivites,growthNetCashUsedForInvestingActivites,growthDebtRepayment,growthCommonStockIssued,growthCommonStockRepurchased,growthDividendsPaid,growthOtherFinancingActivites,growthNetCashUsedProvidedByFinancingActivities,growthEffectOfForexChangesOnCash,growthNetChangeInCash,growthCashAtEndOfPeriod,growthCashAtBeginningOfPeriod,growthOperatingCashFlow,growthCapitalExpenditure,growthFreeCashFlow
2023-09-30,AAPL,2023,Q4,0.15467028821487852,-0.13073394495412843,1.0,0.003056935422239205,-2.0164260826281732,-3.6789129340714646,44.27272727272727,2.7496225465525916,-2.174635128334172,-1.1671018276762402,-0.18127369219105383,-0.033444816053511704,0.0,0.12316835741366944,0.07057444314185228,-0.1541501976284585,4.478260869565218,1.0,-1.0,-0.05739314302975381,0.02364250454663549,1.6595570139458573,0.03721723220226214,0,-0.6970025279884435,0.028062077730951904,0.10206789782151941,-0.18127369219105383,-0.033444816053511704,-0.19977765882982665
2023-07-01,AAPL,2023,Q3,-0.17711092715231788,0.05314009661835749,0.0,-0.025688756515264335,-9.696969696969697,-1.3734260477353881,0.970310391363023,1.2705425828851522,-1.3843326885880078,3.436042402826855,-0.07633053221288516,0.28223593964334703,0.0,-0.6146591661151555,0.12384716732542819,-3.7735849056603774,-0.8115567054764985,-0.2575452716297787,0.0,-0.013728692456874553,-0.05452054794520548,-1.6997703788748564,0.06515316436013062,0,-0.46285160038797285,0.10206789782151941,0.2345954309638664,-0.07633053221288516,0.28223593964334703,-0.05291686164404929
2023-04-01,AAPL,2023,Q2,-0.1946129741982799,-0.006172839506172839,0.0,-0.07538726333907057,1.154308617234469,0.2446783625730994,0.5899280575539568,-1.4179423868312757,3.9004739336492893,-3.4637223974763405,-0.16012351124834584,0.22999735938737786,0.0,-0.1729089850572482,0.49096385542168675,0.24822695035460993,2.6048442906574394,0.3797191887675507,0.0,-0.006110397946084724,0.03131634819532909,2.287985212569316,0.2766639484857858,0,2.7166167166167168,0.2345954309638664,-0.12023061216319013,-0.16012351124834584,0.22999735938737786,-0.15136673505857437
2022-12-31,AAPL,2023,Q1,0.44771005260363883,0.01780104712041885,1.0,0.2752414398595259,-30.1875,1.6696428571428572,-5.154022988505747,-1.3905245564412445,1.2185396167788711,-2.8430232558139537,0.40941683590997635,-0.15141380358771664,1.0,0.23602668643439584,-0.20050256517642132,0.7638190954773869,-0.18734593262119967,-2.4425349087003223,0.0,0.20275912886851155,-0.017553335133675397,-1.6549636803874093,-0.32727476300664327,0,0.22682801235839342,-0.12023061216319013,-0.13457607151519352,0.40941683590997635,-0.15141380358771664,0.45013916882618293
2022-09-24,AAPL,2022,Q4,0.0657854130233515,0.0213903743315508,-2.1157074340527577,0.01560410164957646,0.9851162790697674,-5.507645259938838,28.1875,4.569527306103717,-5.532863849765258,5.195121951219512,0.05394897780884152,-0.5647002854424358,-67.5,0.17653522158466609,-0.3693211833069202,0.02926829268292683,-1.2874350495984885,0.069,0.0,-0.11721930025154356,0.028339018630280766,2.354995938261576,0.023720167607943158,0,-11.175548589341693,-0.13457607151519352,-0.010932145305003428,0.05394897780884152,-0.5647002854424358,0.002308802308802309
2022-06-25,AAPL,2022,Q3,-0.22263094762095162,0.024844720496894408,3.1083743842364533,-0.003996447602131439,-0.5716374269005848,-1.1035246939636978,-1.0416666666666667,0.7978945415758475,-0.7792974821262045,0.7807486631016043,-0.1872470354327913,0.16388225934765313,0.0,0.6974588165767895,-0.26783987623283695,-0.703601108033241,1.4569886670264436,0.2,0.0,0.0338473774910521,-0.06008344923504868,-0.24246153846153845,0.03195654474268985,0,0.9662433862433862,-0.010932145305003428,-0.24462852705151436,-0.1872470354327913,0.16388225934765313,-0.1895368782161235
2022-03-26,AAPL,2022,Q2,-0.2777938203869477,0.014831294030404153,-0.4046920821114369,-0.005739514348785872,-1.3144827586206898,3.4087442806304016,-0.43612334801762115,-2.08832584666633,1.9617339312406576,-2.1197604790419162,-0.40028957117915087,0.10310381733856583,0.0,0.22452954486867355,-0.05913391557496361,0.034759358288770054,0.42474854091642866,-2.75,-1.0,-0.10513722043168278,0.03670953912111469,1.411496581413016,-0.006818423949714123,0,-4.498704183635691,-0.24462852705151436,0.0751760416376743,-0.40028957117915087,0.10310381733856583,-0.41915177863822656
2021-12-25,AAPL,2022,Q1,0.6850761520120675,-0.0976915356306457,1.1689373297002725,0.16452442159383032,4.645251396648045,0.5534112839141787,1.476557032890133,0.4039824263038549,-0.7717161016949152,-0.6918819188191881,1.3250495049504951,0.13031337263419174,1.0,-1.2515800335354057,0.10706012690099707,-0.36496350364963503,-20.28862275449102,0.2,0.8382352941176471,-0.0369657686854365,-0.025274725274725275,-2.0638469827586206,-0.38156216269257187,0,3.1362940275650844,0.0751760416376743,0.018511169066787618,1.3250495049504951,0.13031337263419174,1.6013429934617422
2021-09-25,AAPL,2021,Q4,-0.05486571008094187,0.055437853107344635,-6.6169811320754715,-0.007653061224489796,0.6189056844794549,-9.544131910766247,-110.92307692307692,65.88151658767772,0.04838709677419355,3.5209302325581397,-0.0423817199203565,-0.5398948877209747,-4.0,0.2100061137151009,-0.21741871921182265,-2.5128205128205128,-0.7662374020156775,0.5833333333333334,0.0,0.1376419213973799,0.033713830634457126,12.697416974169741,0.3066403592325486,0,1.1380549682875265,0.018511169066787618,-0.11823226516022596,-0.0423817199203565,-0.5398948877209747,-0.10652070943634545
2021-06-26,AAPL,2021,Q3,-0.07981379602200593,0.012513407222023596,-2.557046979865772,-0.01060070671378092,-0.24292140777983592,-0.8800883926494534,1.0471014492753623,1.0089153673891917,-1.5146117931869272,0.5691382765531062,-0.12038697302030775,0.07756721022476862,0.0,0.4331099815157117,-0.050656590220359905,0.6176470588235294,1.3445216049382716,0.14285714285714285,-1.0,-0.23463446193659693,-0.09283434870902234,-0.9800852439741329,-1.5954441108952853,0,-3.0682116309575864,-0.11823226516022596,0.060632572443596065,-0.12038697302030775,0.07756721022476862,-0.12486182756079588
2021-03-27,AAPL,2021,Q2,-0.17822987306555382,0.04913728432108027,-1.5689655172413792,-0.019306930693069307,-1.7056956115779645,1.7855641845591594,0.7094736842105264,-2.0921550530687587,3.616742081447964,-20.96,-0.3813430333049558,0.3517142857142857,1.0,0.13005025125628142,-0.22571767909388488,-2.0,-0.20782851817334577,-2.5,0.0,0.2513420787083754,0.045945197896484914,5.7563788885005245,0.6487953114825266,0,2.1048309178743962,0.060632572443596065,-0.05202442886224836,-0.3813430333049558,0.3517142857142857,-0.38428381022601593
2020-12-26,AAPL,2021,Q1,1.2689970804071649,-0.013323464100666173,0.853904282115869,0.1716937354988399,0.38122259478978593,-7.1906108597285066,-5.934306569343065,2.2223048327137547,0.013172583165885243,9.333333333333334,0.8838938569206843,-0.9618834080717489,0.8235294117647058,-1.171066986689941,0.3380232558139535,3.0,-2.5519797504971975,-0.03842159916926272,-1.0,-0.441496479897597,-0.02905155226431216,-18.595890410958905,-0.5099967223861029,0,-1.4357894736842105,-0.05202442886224836,0.13556322954422215,0.8838938569206843,-0.9618834080717489,0.8764899957428693
