date,symbol,calendarYear,period,growthCashAndCashEquivalents,growthShortTermInvestments,growthCashAndShortTermInvestments,growthNetReceivables,growthInventory,growthOtherCurrentAssets,growthTotalCurrentAssets,growthPropertyPlantEquipmentNet,growthGoodwill,growthIntangibleAssets,growthGoodwillAndIntangibleAssets,growthLongTermInvestments,growthTaxAssets,growthOtherNonCurrentAssets,growthTotalNonCurrentAssets,growthOtherAssets,growthTotalAssets,growthAccountPayables,growthShortTermDebt,growthTaxPayables,growthDeferredRevenue,growthOtherCurrentLiabilities,growthTotalCurrentLiabilities,growthLongTermDebt,growthDeferredRevenueNonCurrent,growthDeferrredTaxLiabilitiesNonCurrent,growthOtherNonCurrentLiabilities,growthTotalNonCurrentLiabilities,growthOtherLiabilities,growthTotalLiabilities,growthCommonStock,growthRetainedEarnings,growthAccumulatedOtherComprehensiveIncomeLoss,growthOthertotalStockholdersEquity,growthTotalStockholdersEquity,growthTotalLiabilitiesAndStockholdersEquity,growthTotalInvestments,growthTotalDebt,growthNetDebt
2023-09-30,AAPL,2023,Q4,0.05480850464657843,-0.07290015847860538,-0.014836272846579814,0.5562956157811463,-0.1387566317507822,0.07734604105571848,0.1704481530095631,0.0037887485648679677,0.0,0.0,0.0,-0.033797484167939956,0.0,-0.00015439723320158103,-0.015830190367220866,0,0.05236719416901963,0.340735347651984,0.4102060843964671,0.0,-0.011890169159107624,-0.0011545579571115676,0.1628081912246025,-0.028448776906526904,0.0,0.0,-0.03638121012951866,-0.03118804280345258,0,0.057041679404871086,0.04450450705421201,-1.1519886363636365,0.029573764935174985,0.0,0.03105816770083286,0.05236719416901963,2.877854082291483,0.016544655929721815,0.0031036699970323476
2023-07-01,AAPL,2023,Q3,0.1507271033337384,0.09264069264069263,0.11830612829324169,0.09156243906515502,-0.017508687516706763,-0.0014641288433382138,0.08631424193848361,0.003502465551407899,0.0,0.0,0.0,-0.05793900109540924,0.0,-0.00948186211537285,-0.03132540011949993,0,0.008664499036608863,0.08741413435789964,-0.10855734054397964,0.0,0.0033206247694010575,0.04381036774479397,0.04070789090151988,0.010614070341402087,0.0,0.0,-0.02185833679990924,-0.0008404089990462025,0,0.017636906393285974,0.015797493100275988,-0.6752767527675276,-0.004682445087689426,0.0,-0.03030985552945719,0.008664499036608863,0.09264069264069263,-0.0030561510742142953,-0.047758100979653356
2023-04-01,AAPL,2023,Q2,0.20219138056975894,0.011842959117456198,0.0879563820465388,-0.3374123292727944,0.0970674486803519,-0.1681890147363293,-0.12318970002407262,0.010407208214011315,0.0,0.0,0.0,-0.03185065077347824,0.0,0.07327161709671065,0.005858604395100243,0,-0.04206813613383822,-0.2585206671501088,0.0950100148044936,0.0,0.017392392392392392,-0.057903260815120296,-0.12536602421222848,-0.025956818934626157,0.0,0.0,-0.004161409983617979,-0.018378357143792476,0,-0.06902282601199917,0.0477266223888914,0.33827160493827163,0.09030359355638166,0.0,0.09573924233610097,-0.04206813613383822,-0.7848048856226063,-0.013455134551345513,-0.06234612199834391
2022-12-31,AAPL,2023,Q1,-0.13156559248921593,0.2498986130261984,0.06316247101689301,-0.11081205278014836,0.3788920339668419,-0.22621684022051547,-0.04894944795243898,0.019801980198019802,0.0,0.0,0.0,-0.05554405860684574,0.0,0.11935033438671272,0.0028525419829767656,0,-0.017031650862496632,-0.09665444903688684,-0.45603979156797725,0.0,0.010111223458038422,-0.01564631440545649,-0.10842825784831993,0.006750270313968411,0.0,0.0,0.0806845468234911,0.03128270572109574,0,-0.03993273371887859,0.0239016792857253,2.0560625814863105,-0.1623008371590602,0.0,0.11949400063151247,-0.017031650862496632,-0.0037672810267903177,-0.07461542946139303,-0.060649430115221475
2022-09-24,AAPL,2022,Q4,-0.14020798487382735,0.18954122244198948,0.0015135493769567292,0.4424506415415937,-0.08963740106755015,0.2951910167215916,0.20582944466213088,0.04417999256229081,0.0,0.0,0.0,-0.07836615119357325,0.0,0.034654500522764,-0.029761134199636635,0,0.048901456696074146,0.3262519909811141,-0.15529590652634948,0.0,0.023809523809523808,0.24654278748642725,0.18563519746213608,0.04497360084477297,0.0,0.0,-0.08366741874731955,-0.001537123556418502,0,0.08584050438170826,0.04401513322063914,-1.5800718472301003,-0.19490158115521136,0.0,-0.1279536028361471,0.048901456696074146,-0.041783592216381435,0.003158132190390255,0.04592738830012257
2022-06-25,AAPL,2022,Q3,-0.021211474126272334,-0.11463716738564046,-0.0636757197491798,-0.06955947136563877,-0.004945054945054945,0.03649819722942627,-0.04982230495853782,0.02623142682678608,0.0,0.0,0.0,-0.07181753163526154,0.0,0.01243287977058835,-0.0364114210992679,0,-0.04093115307618162,-0.08236209711096769,0.5002401248649297,0.0,-0.024242424242424242,-0.02859815316032479,0.018547855820811244,-0.0834567327700512,0.0,0.0,0.022829569728410132,-0.04767744213668903,0,-0.01786678810857754,0.01526617740801883,-0.5839364380113279,-0.43162919618109025,0.0,-0.13786554696657222,-0.04093115307618162,-0.07790708975168861,-0.0024170493661496402,0.0033303222576537552
2022-03-26,AAPL,2022,Q2,-0.24302917643255476,-0.12618496678360827,-0.19404502996260542,-0.3042465480514306,-0.07079646017699115,-0.12715326855123674,-0.22835838437128642,0.0015033762262708626,0.0,0.0,0.0,0.018286307622419475,0.0,0.03691951545630526,0.019492450786495173,0,-0.08008845959112361,-0.29154675775261557,0.030243057703011937,0.0,0.00558659217877095,0.02198629161836191,-0.1359724612736661,-0.03100469853416988,0.0,0.0,-0.047660563789596044,-0.03667625320839905,0,-0.08405899262430519,0.047189511159797345,-0.11936266020090058,-6.005393743257821,0.0,-0.06301785019184786,-0.08008845959112361,-0.005106449838950428,-0.02294011303115686,0.07240980870458338
2021-12-25,AAPL,2022,Q1,0.062364052661705784,-0.032672659662803714,0.020338766583119144,0.2669009435793888,-0.10699088145896657,0.28353766565091065,0.13585392625114953,-0.00494421906693712,0.0,0.0,0.0,0.08450307717572354,0.0,0.025793772646318245,0.0549161292710232,0,0.08600805693414852,0.3578876248561985,0.035611349516428616,0.0,0.03468208092485549,0.03524729960204662,0.176066496122919,-0.022702692794163475,0.0,0.0,0.03246132208157525,-0.004592719370070984,0,0.07414418294478868,0.018460733896975508,1.595289464221503,-6.6871165644171775,0.0,0.14014899350134727,0.08600805693414852,0.06364092147889135,-0.015402625101227559,-0.045667695118012004
2021-09-25,AAPL,2021,Q4,0.026138032305433188,0.0019170946972437242,0.015284621369294605,0.5189925681255161,0.27076091154886056,0.03445495198299245,0.17839944766349422,0.021364754629030168,0.0,0.0,0.0,-0.030853063327977687,0.0,0.0890667498996745,0.0034769772116406785,0,0.06415837982051904,0.3552178970031429,-0.02656025936779101,0.0,-0.008983205311808358,0.0886647564469914,0.16451361434378306,0.031715712232392765,0.0,0.0,0.024416951627156413,0.029308137840132822,0,0.08416930260581412,0.04320864172834567,-0.3975955810679086,1.8103448275862069,0.0,-0.01851275668948351,0.06415837982051904,-0.025176385077133226,0.024041185309259305,0.023227453527997172
