date,symbol,calendarYear,period,growthRevenue,growthCostOfRevenue,growthGrossProfit,growthGrossProfitRatio,growthResearchAndDevelopmentExpenses,growthGeneralAndAdministrativeExpenses,growthSellingAndMarketingExpenses,growthOtherExpenses,growthOperatingExpenses,growthCostAndExpenses,growthInterestExpense,growthDepreciationAndAmortization,growthEBITDA,growthEBITDARatio,growthOperatingIncome,growthOperatingIncomeRatio,growthTotalOtherIncomeExpensesNet,growthIncomeBeforeTax,growthIncomeBeforeTaxRatio,growthIncomeTaxExpense,growthNetIncome,growthNetIncomeRatio,growthEPS,growthEPSDiluted,growthWeightedAverageShsOut,growthWeightedAverageShsOutDil
2023-09-30,AAPL,2023,Q4,0.0941477071286233,0.08124008461131677,0.1102353555049021,0.014703360847744157,-0.018140284869658695,0,0,1.109433962264151,0.0032053671263510995,0.06343645300090138,0.004008016032064128,-0.13073394495412843,0.288025045656144,0.1771948497195785,0.17266718845116966,0.07176314575572702,1.109433962264151,0.18761272159415826,0.08542266632996175,0.4172510518934081,0.15467028821487852,0.055314817840226606,0.1574803149606299,0.1587301587301587,-0.006254453702326991,-0.006505284525453247
2023-07-01,AAPL,2023,Q3,-0.1374899827069889,-0.14143019296254256,-0.1325281113016962,0.005752827536944205,-0.002011532787984444,0,0,-5.140625,-0.017791770390979646,-0.11604377762410174,0.07311827956989247,0.05314009661835749,-0.26326242952332135,-0.1458214331485441,-0.1878663747439791,-0.05840673284910026,-5.140625,-0.1990345993939821,-0.07135524861864377,-0.32449076267171956,-0.17711092715231788,-0.04593679356220536,-0.16993464052287582,-0.17105263157894737,-0.005671699915006847,-0.004545262367443783
2023-04-01,AAPL,2023,Q2,-0.1905013913310685,-0.20894316243153452,-0.16601764285146625,0.03024557197350694,-0.03268906472953691,0,0,1.1628498727735368,-0.04596255937412685,-0.1801868421701299,-0.07278165503489531,-0.006172839506172839,-0.1981917188944827,-0.00950011210908371,-0.21373833851621502,-0.028705357640206413,1.1628498727735368,-0.2032675518625607,-0.01577045403469262,-0.2494222222222222,-0.1946129741982799,-0.005079171874951731,-0.1904761904761904,-0.1914893617021276,-0.006642599886753201,-0.00681059918456819
2022-12-31,AAPL,2023,Q1,0.29960286646107426,0.2837793702330407,0.3212232576453603,0.016636152172707436,0.140215944386925,0,0,-0.6582278481012658,0.08446329823498219,0.2434561392754245,0.21281741233373638,0.01780104712041885,0.40250009006088117,0.07917589752391842,0.4467743231300715,0.11324340697806831,-0.6582278481012658,0.44474185829581864,0.11167949493870559,0.4291158536585366,0.44771005260363883,0.11396341893330836,0.4651162790697673,0.4573643410852712,-0.008587381136644154,-0.01009692920510731
2022-09-24,AAPL,2022,Q4,0.08663315613736906,0.10572715299315971,0.06158562073289675,-0.02305058988029893,-0.005296454318081506,0,0,-22.7,0.03060348192677024,0.08965816675851243,0.1502086230876217,0.0213903743315508,0.07256288396893475,-0.012948502346663619,0.07878315132605304,-0.007224153555268368,-22.7,0.06897598196479666,-0.016249434256017485,0.08609271523178808,0.0657854130233515,-0.019185631205580266,0.07500000000000007,0.07500000000000007,-0.008201661269032346,-0.008838777870378324
2022-06-25,AAPL,2022,Q3,-0.14719669401097885,-0.1397138105594035,-0.15681759439836462,-0.011281499878233913,0.0641928918114921,0,0,-1.0625,0.018203497615262323,-0.11019480230018276,0.04052098408104197,0.024844720496894408,-0.20891918327423892,-0.07237599669441049,-0.23026118282797958,-0.09740169644297984,-1.0625,-0.23467931915458376,-0.10258241804393534,-0.29342951842464415,-0.22263094762095162,-0.08845445753688776,-0.22077922077922082,-0.21052631578947373,-0.007117047065257014,-0.008602711793152067
2022-03-26,AAPL,2022,Q2,-0.2151518818830933,-0.2149579639034748,-0.2154010655752816,-0.0003174930132766805,0.012844909609895337,0,0,1.6477732793522266,-0.013720109760878087,-0.18382914731314504,-0.004322766570605188,0.014831294030404153,-0.25956772660405114,-0.056591643466468555,-0.2774055148476668,-0.07931933767731898,1.6477732793522266,-0.2691981280764288,-0.06886204448541887,-0.22417183482075329,-0.2777938203869477,-0.0798140899875009,-0.2701421800947867,-0.2761904761904762,-0.006888964211452072,-0.007020579757327358
2021-12-25,AAPL,2022,Q1,0.48686420345489445,0.44651973602291123,0.5421333939841929,0.03717164667460863,0.09251559251559252,0,0,0.5408921933085502,0.12003863716192484,0.38411051801121293,0.03273809523809524,-0.0976915356306457,0.650233426704015,0.10987501274329993,0.7442192886571933,0.17308580324423498,0.5408921933085502,0.773959050240881,0.19308746974482557,1.4512421208750463,0.6850761520120675,0.1333087096495282,0.688,0.6935483870967742,-0.005786152718840361,-0.006961546422001627
2021-09-25,AAPL,2021,Q4,0.023651054841957904,0.04346131358409667,-0.002297546447312438,-0.025349069104685682,0.009620430295609585,0,0,-3.213991769547325,0.023272531224728187,0.039540727298108466,0.010526315789473684,0.055437853107344635,-0.0067883374137547295,-0.029736102079062604,-0.014092680096161818,-0.03687168084470432,-3.213991769547325,-0.04600106692929542,-0.06804283717256299,0.027428571428571427,-0.05486571008094187,-0.07670266588265709,-0.045801526717557293,-0.04615384615384619,-0.008554141945597341,-0.008737952303501396
2021-06-26,AAPL,2021,Q3,-0.09097606715484909,-0.10340743617124551,-0.07416161138685365,0.018497264043966833,0.08646902318510072,0,0,-0.5216535433070866,0.05228819969742814,-0.07688342649119699,-0.007462686567164179,0.012513407222023596,-0.1102970297029703,-0.021254624741846934,-0.12278660509762572,-0.03499416961999587,-0.5216535433070866,-0.1300203491485488,-0.04295187441116489,-0.4008217301985848,-0.07981379602200593,0.0122794028499037,-0.07092198581560274,-0.07142857142857134,-0.007407716464332536,-0.008708171351946232
